date,county,state,fips,cases,deaths
2021-01-01,Atlantic,New Jersey,34001,12346,370
2021-01-01,Bergen,New Jersey,34003,47833,2330
2021-01-01,Burlington,New Jersey,34005,21512,627
2021-01-01,Camden,New Jersey,34007,28975,827
2021-01-01,Cape May,New Jersey,34009,2427,137
2021-01-01,Cumberland,New Jersey,34011,7962,229
2021-01-01,Essex,New Jersey,34013,47949,2399
2021-01-01,Gloucester,New Jersey,34015,14310,397
2021-01-01,Hudson,New Jersey,34017,44673,1707
2021-01-01,Hunterdon,New Jersey,34019,3853,139
2021-01-01,Mercer,New Jersey,34021,18960,725
2021-01-01,Middlesex,New Jersey,34023,45487,1683
2021-01-01,Monmouth,New Jersey,34025,32442,1049
2021-01-01,Morris,New Jersey,34027,20567,965
2021-01-01,Ocean,New Jersey,34029,32954,1381
2021-01-01,Passaic,New Jersey,34031,40318,1460
2021-01-01,Salem,New Jersey,34033,2800,112
2021-01-01,Somerset,New Jersey,34035,12848,666
2021-01-01,Sussex,New Jersey,34037,4585,215
2021-01-01,Union,New Jersey,34039,37015,1559
2021-01-01,Warren,New Jersey,34041,3991,183
2021-01-02,Atlantic,New Jersey,34001,12571,372
2021-01-02,Bergen,New Jersey,34003,48265,2333
2021-01-02,Burlington,New Jersey,34005,21828,629
2021-01-02,Camden,New Jersey,34007,29343,830
2021-01-02,Cape May,New Jersey,34009,2464,137
2021-01-02,Cumberland,New Jersey,34011,8069,231
2021-01-02,Essex,New Jersey,34013,48320,2400
2021-01-02,Gloucester,New Jersey,34015,14508,397
2021-01-02,Hudson,New Jersey,34017,45054,1711
2021-01-02,Hunterdon,New Jersey,34019,3922,139
2021-01-02,Mercer,New Jersey,34021,19132,725
2021-01-02,Middlesex,New Jersey,34023,46024,1685
2021-01-02,Monmouth,New Jersey,34025,32915,1053
2021-01-02,Morris,New Jersey,34027,20837,965
2021-01-02,Ocean,New Jersey,34029,33505,1381
2021-01-02,Passaic,New Jersey,34031,40563,1462
2021-01-02,Salem,New Jersey,34033,2856,112
2021-01-02,Somerset,New Jersey,34035,12996,667
2021-01-02,Sussex,New Jersey,34037,4682,215
2021-01-02,Union,New Jersey,34039,37339,1560
2021-01-02,Warren,New Jersey,34041,4060,183
2021-01-03,Atlantic,New Jersey,34001,12664,372
2021-01-03,Bergen,New Jersey,34003,48565,2335
2021-01-03,Burlington,New Jersey,34005,22047,630
2021-01-03,Camden,New Jersey,34007,29540,833
2021-01-03,Cape May,New Jersey,34009,2475,137
2021-01-03,Cumberland,New Jersey,34011,8135,231
2021-01-03,Essex,New Jersey,34013,48629,2403
2021-01-03,Gloucester,New Jersey,34015,14612,398
2021-01-03,Hudson,New Jersey,34017,45394,1713
2021-01-03,Hunterdon,New Jersey,34019,3936,139
2021-01-03,Mercer,New Jersey,34021,19244,725
2021-01-03,Middlesex,New Jersey,34023,46475,1688
2021-01-03,Monmouth,New Jersey,34025,33268,1056
2021-01-03,Morris,New Jersey,34027,21058,965
2021-01-03,Ocean,New Jersey,34029,33800,1382
2021-01-03,Passaic,New Jersey,34031,40776,1462
2021-01-03,Salem,New Jersey,34033,2875,112
2021-01-03,Somerset,New Jersey,34035,13091,668
2021-01-03,Sussex,New Jersey,34037,4758,215
2021-01-03,Union,New Jersey,34039,37479,1561
2021-01-03,Warren,New Jersey,34041,4091,183
2021-01-04,Atlantic,New Jersey,34001,15782,372
2021-01-04,Bergen,New Jersey,34003,53188,2342
2021-01-04,Burlington,New Jersey,34005,24127,632
2021-01-04,Camden,New Jersey,34007,32192,834
2021-01-04,Cape May,New Jersey,34009,4710,138
2021-01-04,Cumberland,New Jersey,34011,9581,233
2021-01-04,Essex,New Jersey,34013,52314,2404
2021-01-04,Gloucester,New Jersey,34015,16506,398
2021-01-04,Hudson,New Jersey,34017,48821,1714
2021-01-04,Hunterdon,New Jersey,34019,4284,139
2021-01-04,Mercer,New Jersey,34021,20214,727
2021-01-04,Middlesex,New Jersey,34023,49542,1694
2021-01-04,Monmouth,New Jersey,34025,36128,1057
2021-01-04,Morris,New Jersey,34027,24295,965
2021-01-04,Ocean,New Jersey,34029,37455,1387
2021-01-04,Passaic,New Jersey,34031,43749,1463
2021-01-04,Salem,New Jersey,34033,3229,113
2021-01-04,Somerset,New Jersey,34035,15707,669
2021-01-04,Sussex,New Jersey,34037,5320,216
2021-01-04,Union,New Jersey,34039,42340,1564
2021-01-04,Warren,New Jersey,34041,4488,183
2021-01-05,Atlantic,New Jersey,34001,15983,379
2021-01-05,Bergen,New Jersey,34003,53821,2345
2021-01-05,Burlington,New Jersey,34005,24576,637
2021-01-05,Camden,New Jersey,34007,32560,845
2021-01-05,Cape May,New Jersey,34009,4765,138
2021-01-05,Cumberland,New Jersey,34011,9733,235
2021-01-05,Essex,New Jersey,34013,52733,2410
2021-01-05,Gloucester,New Jersey,34015,16777,405
2021-01-05,Hudson,New Jersey,34017,49340,1721
2021-01-05,Hunterdon,New Jersey,34019,4357,140
2021-01-05,Mercer,New Jersey,34021,20463,738
2021-01-05,Middlesex,New Jersey,34023,50128,1709
2021-01-05,Monmouth,New Jersey,34025,36634,1070
2021-01-05,Morris,New Jersey,34027,24585,969
2021-01-05,Ocean,New Jersey,34029,37970,1409
2021-01-05,Passaic,New Jersey,34031,44070,1474
2021-01-05,Salem,New Jersey,34033,3294,114
2021-01-05,Somerset,New Jersey,34035,15857,673
2021-01-05,Sussex,New Jersey,34037,5391,219
2021-01-05,Union,New Jersey,34039,42658,1569
2021-01-05,Warren,New Jersey,34041,4558,183
2021-01-06,Atlantic,New Jersey,34001,16219,383
2021-01-06,Bergen,New Jersey,34003,54435,2355
2021-01-06,Burlington,New Jersey,34005,24925,639
2021-01-06,Camden,New Jersey,34007,32936,851
2021-01-06,Cape May,New Jersey,34009,4842,143
2021-01-06,Cumberland,New Jersey,34011,9877,240
2021-01-06,Essex,New Jersey,34013,53216,2421
2021-01-06,Gloucester,New Jersey,34015,17065,409
2021-01-06,Hudson,New Jersey,34017,49798,1731
2021-01-06,Hunterdon,New Jersey,34019,4408,140
2021-01-06,Mercer,New Jersey,34021,20667,742
2021-01-06,Middlesex,New Jersey,34023,50638,1722
2021-01-06,Monmouth,New Jersey,34025,37132,1079
2021-01-06,Morris,New Jersey,34027,24804,981
2021-01-06,Ocean,New Jersey,34029,38369,1424
2021-01-06,Passaic,New Jersey,34031,44350,1481
2021-01-06,Salem,New Jersey,34033,3356,114
2021-01-06,Somerset,New Jersey,34035,16013,683
2021-01-06,Sussex,New Jersey,34037,5489,224
2021-01-06,Union,New Jersey,34039,42921,1577
2021-01-06,Warren,New Jersey,34041,4601,184
2021-01-07,Atlantic,New Jersey,34001,16443,386
2021-01-07,Bergen,New Jersey,34003,55096,2361
2021-01-07,Burlington,New Jersey,34005,25271,643
2021-01-07,Camden,New Jersey,34007,33360,867
2021-01-07,Cape May,New Jersey,34009,4922,143
2021-01-07,Cumberland,New Jersey,34011,10005,242
2021-01-07,Essex,New Jersey,34013,53843,2422
2021-01-07,Gloucester,New Jersey,34015,17327,420
2021-01-07,Hudson,New Jersey,34017,50486,1740
2021-01-07,Hunterdon,New Jersey,34019,4480,140
2021-01-07,Mercer,New Jersey,34021,20879,747
2021-01-07,Middlesex,New Jersey,34023,51364,1735
2021-01-07,Monmouth,New Jersey,34025,37815,1087
2021-01-07,Morris,New Jersey,34027,25176,987
2021-01-07,Ocean,New Jersey,34029,38898,1434
2021-01-07,Passaic,New Jersey,34031,44831,1496
2021-01-07,Salem,New Jersey,34033,3419,115
2021-01-07,Somerset,New Jersey,34035,16222,689
2021-01-07,Sussex,New Jersey,34037,5600,224
2021-01-07,Union,New Jersey,34039,43384,1584
2021-01-07,Warren,New Jersey,34041,4684,184
2021-01-08,Atlantic,New Jersey,34001,16718,388
2021-01-08,Bergen,New Jersey,34003,55774,2368
2021-01-08,Burlington,New Jersey,34005,25567,647
2021-01-08,Camden,New Jersey,34007,33813,881
2021-01-08,Cape May,New Jersey,34009,4993,145
2021-01-08,Cumberland,New Jersey,34011,10187,247
2021-01-08,Essex,New Jersey,34013,54388,2425
2021-01-08,Gloucester,New Jersey,34015,17584,427
2021-01-08,Hudson,New Jersey,34017,51001,1745
2021-01-08,Hunterdon,New Jersey,34019,4556,141
2021-01-08,Mercer,New Jersey,34021,21084,752
2021-01-08,Middlesex,New Jersey,34023,51985,1749
2021-01-08,Monmouth,New Jersey,34025,38540,1095
2021-01-08,Morris,New Jersey,34027,25489,990
2021-01-08,Ocean,New Jersey,34029,39571,1448
2021-01-08,Passaic,New Jersey,34031,45102,1505
2021-01-08,Salem,New Jersey,34033,3469,115
2021-01-08,Somerset,New Jersey,34035,16369,691
2021-01-08,Sussex,New Jersey,34037,5715,225
2021-01-08,Union,New Jersey,34039,43776,1587
2021-01-08,Warren,New Jersey,34041,4761,185
2021-01-09,Atlantic,New Jersey,34001,16925,388
2021-01-09,Bergen,New Jersey,34003,56360,2376
2021-01-09,Burlington,New Jersey,34005,25938,652
2021-01-09,Camden,New Jersey,34007,34294,892
2021-01-09,Cape May,New Jersey,34009,5046,147
2021-01-09,Cumberland,New Jersey,34011,10380,251
2021-01-09,Essex,New Jersey,34013,54997,2429
2021-01-09,Gloucester,New Jersey,34015,17897,430
2021-01-09,Hudson,New Jersey,34017,51664,1750
2021-01-09,Hunterdon,New Jersey,34019,4649,141
2021-01-09,Mercer,New Jersey,34021,21319,758
2021-01-09,Middlesex,New Jersey,34023,52614,1757
2021-01-09,Monmouth,New Jersey,34025,39149,1101
2021-01-09,Morris,New Jersey,34027,25875,994
2021-01-09,Ocean,New Jersey,34029,40123,1461
2021-01-09,Passaic,New Jersey,34031,45376,1510
2021-01-09,Salem,New Jersey,34033,3549,117
2021-01-09,Somerset,New Jersey,34035,16608,693
2021-01-09,Sussex,New Jersey,34037,5892,228
2021-01-09,Union,New Jersey,34039,44260,1593
2021-01-09,Warren,New Jersey,34041,4850,186
2021-01-10,Atlantic,New Jersey,34001,17096,389
2021-01-10,Bergen,New Jersey,34003,56890,2378
2021-01-10,Burlington,New Jersey,34005,26167,653
2021-01-10,Camden,New Jersey,34007,34601,892
2021-01-10,Cape May,New Jersey,34009,5099,147
2021-01-10,Cumberland,New Jersey,34011,10452,251
2021-01-10,Essex,New Jersey,34013,55454,2438
2021-01-10,Gloucester,New Jersey,34015,18062,432
2021-01-10,Hudson,New Jersey,34017,52036,1750
2021-01-10,Hunterdon,New Jersey,34019,4714,141
2021-01-10,Mercer,New Jersey,34021,21515,758
2021-01-10,Middlesex,New Jersey,34023,53218,1761
2021-01-10,Monmouth,New Jersey,34025,39698,1103
2021-01-10,Morris,New Jersey,34027,26149,994
2021-01-10,Ocean,New Jersey,34029,40548,1465
2021-01-10,Passaic,New Jersey,34031,45642,1514
2021-01-10,Salem,New Jersey,34033,3610,117
2021-01-10,Somerset,New Jersey,34035,16772,693
2021-01-10,Sussex,New Jersey,34037,6027,228
2021-01-10,Union,New Jersey,34039,44664,1596
2021-01-10,Warren,New Jersey,34041,4929,186
2021-01-11,Atlantic,New Jersey,34001,17424,389
2021-01-11,Bergen,New Jersey,34003,57259,2380
2021-01-11,Burlington,New Jersey,34005,26361,654
2021-01-11,Camden,New Jersey,34007,34802,893
2021-01-11,Cape May,New Jersey,34009,5143,148
2021-01-11,Cumberland,New Jersey,34011,10545,251
2021-01-11,Essex,New Jersey,34013,55789,2443
2021-01-11,Gloucester,New Jersey,34015,18191,436
2021-01-11,Hudson,New Jersey,34017,52546,1753
2021-01-11,Hunterdon,New Jersey,34019,4764,141
2021-01-11,Mercer,New Jersey,34021,21652,762
2021-01-11,Middlesex,New Jersey,34023,53852,1763
2021-01-11,Monmouth,New Jersey,34025,40185,1113
2021-01-11,Morris,New Jersey,34027,26488,998
2021-01-11,Ocean,New Jersey,34029,41075,1467
2021-01-11,Passaic,New Jersey,34031,45892,1517
2021-01-11,Salem,New Jersey,34033,3644,118
2021-01-11,Somerset,New Jersey,34035,16926,694
2021-01-11,Sussex,New Jersey,34037,6108,229
2021-01-11,Union,New Jersey,34039,45006,1596
2021-01-11,Warren,New Jersey,34041,4999,187
2021-01-12,Atlantic,New Jersey,34001,17591,399
2021-01-12,Bergen,New Jersey,34003,57609,2383
2021-01-12,Burlington,New Jersey,34005,26782,655
2021-01-12,Camden,New Jersey,34007,35012,898
2021-01-12,Cape May,New Jersey,34009,5191,148
2021-01-12,Cumberland,New Jersey,34011,10655,252
2021-01-12,Essex,New Jersey,34013,56168,2450
2021-01-12,Gloucester,New Jersey,34015,18393,438
2021-01-12,Hudson,New Jersey,34017,52954,1761
2021-01-12,Hunterdon,New Jersey,34019,4833,142
2021-01-12,Mercer,New Jersey,34021,21849,765
2021-01-12,Middlesex,New Jersey,34023,54224,1776
2021-01-12,Monmouth,New Jersey,34025,40500,1127
2021-01-12,Morris,New Jersey,34027,26691,1003
2021-01-12,Ocean,New Jersey,34029,41410,1484
2021-01-12,Passaic,New Jersey,34031,46104,1519
2021-01-12,Salem,New Jersey,34033,3676,119
2021-01-12,Somerset,New Jersey,34035,17056,704
2021-01-12,Sussex,New Jersey,34037,6185,229
2021-01-12,Union,New Jersey,34039,45409,1601
2021-01-12,Warren,New Jersey,34041,5038,186
2021-01-13,Atlantic,New Jersey,34001,17882,400
2021-01-13,Bergen,New Jersey,34003,58354,2397
2021-01-13,Burlington,New Jersey,34005,27200,659
2021-01-13,Camden,New Jersey,34007,35457,912
2021-01-13,Cape May,New Jersey,34009,5262,150
2021-01-13,Cumberland,New Jersey,34011,10820,255
2021-01-13,Essex,New Jersey,34013,56824,2459
2021-01-13,Gloucester,New Jersey,34015,18650,440
2021-01-13,Hudson,New Jersey,34017,53632,1769
2021-01-13,Hunterdon,New Jersey,34019,4952,142
2021-01-13,Mercer,New Jersey,34021,22080,765
2021-01-13,Middlesex,New Jersey,34023,55035,1787
2021-01-13,Monmouth,New Jersey,34025,41117,1140
2021-01-13,Morris,New Jersey,34027,27020,1011
2021-01-13,Ocean,New Jersey,34029,42071,1501
