COUNTY,income2019,income2020,income2021
ATLANTIC,50196,55273,58310
BERGEN,87903,90759,97343
BURLINGTON,62113,65654,69496
CAMDEN,53811,57483,61642
CAPE MAY,63302,68326,72010
CUMBERLAND,40014,43844,47559
ESSEX,63975,68192,74310
GLOUCESTER,55704,58909,62553
HUDSON,64645,65509,72046
HUNTERDON,90649,93279,100288
MERCER,68721,71990,77911
MIDDLESEX,61440,64920,70221
MONMOUTH,82513,86029,92119
MORRIS,97774,100617,107767
OCEAN,53315,56831,60823
PASSAIC,50421,54514,59559
SALEM,48860,52936,57547
SOMERSET,107923,106558,113975
SUSSEX,63283,66431,71059
UNION,68555,70955,77007
WARREN,55865,58755,63041
